Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::_Vector_base(unsigned long, std::allocator<Coffee> const&)
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<Coffee, std::allocator<Coffee> >::~_Vector_base()
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      2.37     0.00        1     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      2.37     0.00        1     0.00     0.00  std::__new_allocator<Coffee>::deallocate(Coffee*, unsigned long)
  0.00      2.37     0.00        1     0.00     0.00  std::__new_allocator<Coffee>::allocate(unsigned long, void const*)
  0.00      2.37     0.00        1     0.00     0.00  std::__new_allocator<Coffee>::__new_allocator()
  0.00      2.37     0.00        1     0.00     0.00  std::__new_allocator<int>::__new_allocator()
  0.00      2.37     0.00        1     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      2.37     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<Coffee> >::deallocate(std::allocator<Coffee>&, Coffee*, unsigned long)
  0.00      2.37     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<Coffee> >::allocate(std::allocator<Coffee>&, unsigned long)
  0.00      2.37     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<Coffee> >::max_size(std::allocator<Coffee> const&)
  0.00      2.37     0.00        1     0.00     0.00  Coffee* std::__uninitialized_default_n_1<false>::__uninit_default_n<Coffee*, unsigned long>(Coffee*, unsigned long)
  0.00      2.37     0.00        1     0.00     0.00  std::vector<Coffee, std::allocator<Coffee> >::_S_max_size(std::allocator<Coffee> const&)
  0.00      2.37     0.00        1     0.00     0.00  std::vector<Coffee, std::allocator<Coffee> >::_S_check_init_len(unsigned long, std::allocator<Coffee> const&)
  0.00      2.37     0.00        1     0.00     0.00  std::vector<Coffee, std::allocator<Coffee> >::_M_default_initialize(unsigned long)
  0.00      2.37     0.00        1     0.00     0.00  std::vector<Coffee, std::allocator<Coffee> >::vector(unsigned long, std::allocator<Coffee> const&)
